meter_id,building,planned,connected,reading_date,daily_kwh,feed_delay_days
BG-M1,Beacon Tower,True,True,2026-09-06,100,0
BG-M2,Canal House,True,True,2026-09-05,103,1
BG-M3,Foundry Hall,True,True,2026-09-06,106,0
BG-M4,Station Annex,True,True,2026-09-05,109,1
BG-M5,Stone Yard,True,True,2026-09-06,112,0
BG-M6,Waterfront Hub,True,True,2026-09-06,115,0
BG-M7,Park Offices,True,True,2026-09-06,118,0
BG-M8,Beacon Tower,True,True,2026-09-06,121,0
BG-M9,Canal House,True,True,2026-09-05,124,1
BG-M10,Foundry Hall,True,True,2026-09-06,127,0
BG-M11,Station Annex,True,True,2026-09-05,130,1
BG-M12,Stone Yard,True,True,2026-09-06,133,0
BG-M13,Waterfront Hub,True,True,2026-09-06,136,0
BG-M14,Park Offices,True,True,2026-09-06,139,0
BG-M15,Beacon Tower,True,True,2026-09-06,142,0
BG-M16,Canal House,True,True,2026-09-05,145,1
BG-M17,Foundry Hall,True,True,2026-09-06,148,0
BG-M18,Station Annex,True,True,2026-09-05,151,1
BG-M19,Stone Yard,True,True,2026-09-06,154,0
BG-M20,Waterfront Hub,True,True,2026-09-06,157,0
BG-M21,Park Offices,True,True,2026-09-06,160,0
BG-M22,Beacon Tower,True,True,2026-09-06,163,0
BG-M23,Canal House,True,True,2026-09-05,166,1
BG-M24,Foundry Hall,True,True,2026-09-06,169,0
BG-M25,Station Annex,True,True,2026-09-05,172,1
BG-M26,Stone Yard,True,True,2026-09-06,175,0
BG-M27,Waterfront Hub,True,True,2026-09-06,178,0
BG-M28,Park Offices,True,True,2026-09-06,181,0
BG-M29,Beacon Tower,True,True,2026-09-06,184,0
BG-M30,Canal House,True,True,2026-09-05,187,1
BG-M31,Foundry Hall,True,True,2026-09-06,190,0
BG-M32,Station Annex,True,True,2026-09-05,193,1
BG-M33,Stone Yard,True,True,2026-09-06,196,0
BG-M34,Waterfront Hub,True,True,2026-09-06,199,0
BG-M35,Park Offices,True,True,2026-09-06,202,0
BG-M36,Beacon Tower,True,True,2026-09-06,205,0
BG-M37,Canal House,True,True,2026-09-05,208,1
BG-M38,Foundry Hall,True,True,2026-09-06,211,0
BG-M39,Station Annex,True,True,2026-09-05,214,1
BG-M40,Park Offices,True,False,,,0
BG-M41,Waterfront Hub,True,False,,,0
BG-M42,Park Offices,True,False,,,0
BG-M43,Beacon Tower,True,False,,,0
BG-M44,Canal House,True,False,,,0
BG-M45,Foundry Hall,True,False,,,0
BG-M46,Station Annex,True,False,,,0
BG-M47,Stone Yard,True,False,,,0
BG-M48,Waterfront Hub,True,False,,,0
BG-M49,Park Offices,True,False,,,0
BG-M50,Beacon Tower,True,False,,,0
BG-M51,Canal House,True,False,,,0
BG-M52,Foundry Hall,True,False,,,0
BG-M53,Station Annex,True,False,,,0
BG-M54,Stone Yard,True,False,,,0
BG-M55,Waterfront Hub,True,False,,,0
BG-M56,Park Offices,True,False,,,0
BG-M57,Beacon Tower,True,False,,,0
BG-M58,Canal House,True,False,,,0
BG-M59,Foundry Hall,True,False,,,0
BG-M60,Station Annex,True,False,,,0
