ticket_id,project,period,organization,status,category
CDR-S201,CDR,previous_week,North Hall,closed,pickup questions
CDR-S202,CDR,previous_week,Cedar Center,closed,pickup questions
CDR-S203,CDR,previous_week,Union Shelter,closed,pickup questions
CDR-S204,CDR,previous_week,Park Pantry,closed,pickup questions
CDR-S205,CDR,previous_week,Elm House,closed,pickup questions
CDR-S206,CDR,previous_week,River Table,closed,pickup questions
CDR-S207,CDR,previous_week,West Hub,closed,pickup questions
CDR-S208,CDR,previous_week,North Hall,closed,pickup questions
CDR-S209,CDR,previous_week,Cedar Center,closed,pickup questions
CDR-S210,CDR,previous_week,Union Shelter,closed,pickup questions
CDR-S211,CDR,previous_week,Park Pantry,closed,pickup questions
CDR-S212,CDR,previous_week,Elm House,closed,pickup questions
CDR-S213,CDR,previous_week,River Table,closed,pickup questions
CDR-S214,CDR,previous_week,West Hub,closed,pickup questions
CDR-S215,CDR,previous_week,North Hall,closed,pickup questions
CDR-S216,CDR,previous_week,Cedar Center,closed,pickup questions
CDR-S217,CDR,previous_week,Union Shelter,closed,pickup questions
CDR-S218,CDR,previous_week,Park Pantry,closed,pickup questions
CDR-S219,CDR,previous_week,Elm House,closed,pickup questions
CDR-S220,CDR,previous_week,River Table,closed,pickup questions
CDR-S221,CDR,previous_week,West Hub,closed,pickup questions
CDR-S222,CDR,previous_week,North Hall,closed,pickup questions
CDR-S223,CDR,previous_week,Cedar Center,closed,pickup questions
CDR-S224,CDR,previous_week,Union Shelter,closed,pickup questions
CDR-S225,CDR,previous_week,Park Pantry,closed,pickup questions
CDR-S226,CDR,previous_week,Elm House,closed,pickup questions
CDR-S227,CDR,previous_week,River Table,closed,pickup questions
CDR-S228,CDR,previous_week,West Hub,closed,pickup questions
CDR-S229,CDR,previous_week,North Hall,closed,pickup questions
CDR-S230,CDR,previous_week,Cedar Center,closed,pickup questions
CDR-S231,CDR,previous_week,Union Shelter,closed,pickup questions
CDR-S232,CDR,previous_week,Park Pantry,closed,pickup questions
CDR-S301,CDR,current_week,North Hall,closed,pickup questions
CDR-S302,CDR,current_week,Cedar Center,closed,pickup questions
CDR-S303,CDR,current_week,Union Shelter,closed,pickup questions
CDR-S304,CDR,current_week,Park Pantry,closed,pickup questions
CDR-S305,CDR,current_week,Elm House,closed,pickup questions
CDR-S306,CDR,current_week,River Table,closed,pickup questions
CDR-S307,CDR,current_week,West Hub,closed,pickup questions
CDR-S308,CDR,current_week,North Hall,closed,pickup questions
CDR-S309,CDR,current_week,Cedar Center,closed,pickup questions
CDR-S310,CDR,current_week,Union Shelter,open,pickup questions
CDR-S311,CDR,current_week,Park Pantry,open,pickup questions
CDR-S312,CDR,current_week,Elm House,open,pickup questions
CDR-S313,CDR,current_week,River Table,open,pickup questions
CDR-S314,CDR,current_week,West Hub,open,pickup questions
