ticket_id,project,period,organization,status,category
LUM-S201,LUM,previous_week,Light Lab,closed,visitor questions
LUM-S202,LUM,previous_week,Archive Room,closed,visitor questions
LUM-S203,LUM,previous_week,Sculpture Hall,closed,visitor questions
LUM-S204,LUM,previous_week,Print Gallery,closed,visitor questions
LUM-S205,LUM,previous_week,East Wing,closed,visitor questions
LUM-S206,LUM,previous_week,Learning Studio,closed,visitor questions
LUM-S207,LUM,previous_week,Roof Garden,closed,visitor questions
LUM-S208,LUM,previous_week,Light Lab,closed,visitor questions
LUM-S209,LUM,previous_week,Archive Room,closed,visitor questions
LUM-S210,LUM,previous_week,Sculpture Hall,closed,visitor questions
LUM-S211,LUM,previous_week,Print Gallery,closed,visitor questions
LUM-S212,LUM,previous_week,East Wing,closed,visitor questions
LUM-S213,LUM,previous_week,Learning Studio,closed,visitor questions
LUM-S214,LUM,previous_week,Roof Garden,closed,visitor questions
LUM-S215,LUM,previous_week,Light Lab,closed,visitor questions
LUM-S216,LUM,previous_week,Archive Room,closed,visitor questions
LUM-S217,LUM,previous_week,Sculpture Hall,closed,visitor questions
LUM-S218,LUM,previous_week,Print Gallery,closed,visitor questions
LUM-S219,LUM,previous_week,East Wing,closed,visitor questions
LUM-S220,LUM,previous_week,Learning Studio,closed,visitor questions
LUM-S221,LUM,previous_week,Roof Garden,closed,visitor questions
LUM-S222,LUM,previous_week,Light Lab,closed,visitor questions
LUM-S223,LUM,previous_week,Archive Room,closed,visitor questions
LUM-S301,LUM,current_week,Light Lab,closed,visitor questions
LUM-S302,LUM,current_week,Archive Room,closed,visitor questions
LUM-S303,LUM,current_week,Sculpture Hall,open,visitor questions
LUM-S304,LUM,current_week,Print Gallery,open,visitor questions
LUM-S305,LUM,current_week,East Wing,open,visitor questions
LUM-S306,LUM,current_week,Learning Studio,open,visitor questions
LUM-S307,LUM,current_week,Roof Garden,open,visitor questions
