station_id,station_group,healthy,morning_outages_last_week,commuter_station,battery_units_needed,owner
MET-ST001,Canal Depot,True,0,False,0,Dante Brooks
MET-ST002,Market Station,True,0,True,0,Asha Das
MET-ST003,Elm Junction,True,0,True,0,Leo Kim
MET-ST004,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST005,University Loop,True,0,True,0,Jonah Brooks
MET-ST006,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST007,Park Entrance,True,0,False,0,Maya Chen
MET-ST008,Canal Depot,True,0,False,0,Dante Brooks
MET-ST009,Market Station,True,0,True,0,Asha Das
MET-ST010,Elm Junction,True,0,True,0,Leo Kim
MET-ST011,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST012,University Loop,True,0,True,0,Jonah Brooks
MET-ST013,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST014,Park Entrance,True,0,False,0,Maya Chen
MET-ST015,Canal Depot,True,0,False,0,Dante Brooks
MET-ST016,Market Station,True,0,True,0,Asha Das
MET-ST017,Elm Junction,True,0,True,0,Leo Kim
MET-ST018,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST019,University Loop,True,0,True,0,Jonah Brooks
MET-ST020,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST021,Park Entrance,True,0,False,0,Maya Chen
MET-ST022,Canal Depot,True,0,False,0,Dante Brooks
MET-ST023,Market Station,True,0,True,0,Asha Das
MET-ST024,Elm Junction,True,0,True,0,Leo Kim
MET-ST025,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST026,University Loop,True,0,True,0,Jonah Brooks
MET-ST027,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST028,Park Entrance,True,0,False,0,Maya Chen
MET-ST029,Canal Depot,True,0,False,0,Dante Brooks
MET-ST030,Market Station,True,0,True,0,Asha Das
MET-ST031,Elm Junction,True,0,True,0,Leo Kim
MET-ST032,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST033,University Loop,True,0,True,0,Jonah Brooks
MET-ST034,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST035,Park Entrance,True,0,False,0,Maya Chen
MET-ST036,Canal Depot,True,0,False,0,Dante Brooks
MET-ST037,Market Station,True,0,True,0,Asha Das
MET-ST038,Elm Junction,True,0,True,0,Leo Kim
MET-ST039,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST040,University Loop,True,0,True,0,Jonah Brooks
MET-ST041,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST042,Park Entrance,True,0,False,0,Maya Chen
MET-ST043,Canal Depot,True,0,False,0,Dante Brooks
MET-ST044,Market Station,True,0,True,0,Asha Das
MET-ST045,Elm Junction,True,0,True,0,Leo Kim
MET-ST046,Harbor Gate,True,0,True,0,Sam Okafor
MET-ST047,University Loop,True,0,True,0,Jonah Brooks
MET-ST048,Central Plaza,True,0,True,0,Lena Ortiz
MET-ST049,Park Entrance,True,0,False,0,Maya Chen
MET-ST050,Canal Depot,True,0,False,0,Dante Brooks
MET-ST051,Market Station,True,0,True,0,Asha Das
MET-ST052,Elm Junction,True,0,True,0,Leo Kim
MET-ST053,Harbor Gate,False,4,True,1,Sam Okafor
MET-ST054,University Loop,False,3,True,1,Jonah Brooks
MET-ST055,Central Plaza,False,2,True,1,Lena Ortiz
MET-ST056,Park Entrance,False,1,False,1,Maya Chen
MET-ST057,Canal Depot,False,0,False,1,Dante Brooks
MET-ST058,Market Station,False,4,True,1,Asha Das
MET-ST059,Elm Junction,False,3,True,1,Leo Kim
MET-ST060,Harbor Gate,False,2,True,1,Sam Okafor
MET-ST061,University Loop,False,1,True,1,Jonah Brooks
MET-ST062,Central Plaza,False,0,True,1,Lena Ortiz
MET-ST063,Park Entrance,False,4,False,1,Maya Chen
MET-ST064,Canal Depot,False,3,False,1,Dante Brooks
MET-ST065,Market Station,False,2,True,1,Asha Das
MET-ST066,Elm Junction,False,1,True,1,Leo Kim
MET-ST067,Harbor Gate,False,0,True,1,Sam Okafor
MET-ST068,University Loop,False,4,True,1,Jonah Brooks
MET-ST069,Central Plaza,False,3,True,1,Lena Ortiz
MET-ST070,Park Entrance,False,2,False,1,Maya Chen
MET-ST071,Canal Depot,False,1,False,1,Dante Brooks
MET-ST072,Market Station,False,0,True,1,Asha Das
MET-ST073,Elm Junction,False,4,True,1,Leo Kim
MET-ST074,Harbor Gate,False,3,True,1,Sam Okafor
MET-ST075,University Loop,False,2,True,1,Jonah Brooks
