ticket_id,project,period,organization,status,category
MET-S201,MET,previous_week,Canal Depot,closed,maintenance tickets
MET-S202,MET,previous_week,Market Station,closed,maintenance tickets
MET-S203,MET,previous_week,Elm Junction,closed,maintenance tickets
MET-S204,MET,previous_week,Harbor Gate,closed,maintenance tickets
MET-S205,MET,previous_week,University Loop,closed,maintenance tickets
MET-S206,MET,previous_week,Central Plaza,closed,maintenance tickets
MET-S207,MET,previous_week,Park Entrance,closed,maintenance tickets
MET-S208,MET,previous_week,Canal Depot,closed,maintenance tickets
MET-S209,MET,previous_week,Market Station,closed,maintenance tickets
MET-S210,MET,previous_week,Elm Junction,closed,maintenance tickets
MET-S211,MET,previous_week,Harbor Gate,closed,maintenance tickets
MET-S212,MET,previous_week,University Loop,closed,maintenance tickets
MET-S213,MET,previous_week,Central Plaza,closed,maintenance tickets
MET-S214,MET,previous_week,Park Entrance,closed,maintenance tickets
MET-S215,MET,previous_week,Canal Depot,closed,maintenance tickets
MET-S216,MET,previous_week,Market Station,closed,maintenance tickets
MET-S217,MET,previous_week,Elm Junction,closed,maintenance tickets
MET-S218,MET,previous_week,Harbor Gate,closed,maintenance tickets
MET-S219,MET,previous_week,University Loop,closed,maintenance tickets
MET-S220,MET,previous_week,Central Plaza,closed,maintenance tickets
MET-S221,MET,previous_week,Park Entrance,closed,maintenance tickets
MET-S222,MET,previous_week,Canal Depot,closed,maintenance tickets
MET-S223,MET,previous_week,Market Station,closed,maintenance tickets
MET-S224,MET,previous_week,Elm Junction,closed,maintenance tickets
MET-S225,MET,previous_week,Harbor Gate,closed,maintenance tickets
MET-S226,MET,previous_week,University Loop,closed,maintenance tickets
MET-S301,MET,current_week,Canal Depot,closed,maintenance tickets
MET-S302,MET,current_week,Market Station,closed,maintenance tickets
MET-S303,MET,current_week,Elm Junction,closed,maintenance tickets
MET-S304,MET,current_week,Harbor Gate,closed,maintenance tickets
MET-S305,MET,current_week,University Loop,closed,maintenance tickets
MET-S306,MET,current_week,Central Plaza,closed,maintenance tickets
MET-S307,MET,current_week,Park Entrance,closed,maintenance tickets
MET-S308,MET,current_week,Canal Depot,closed,maintenance tickets
MET-S309,MET,current_week,Market Station,open,maintenance tickets
MET-S310,MET,current_week,Elm Junction,open,maintenance tickets
MET-S311,MET,current_week,Harbor Gate,open,maintenance tickets
MET-S312,MET,current_week,University Loop,open,maintenance tickets
MET-S313,MET,current_week,Central Plaza,open,maintenance tickets
