ticket_id,project,period,organization,status,category
NS-S201,NS,previous_week,Alto Audio,closed,review questions
NS-S202,NS,previous_week,Cedar Travel,closed,review questions
NS-S203,NS,previous_week,Drift Apparel,closed,review questions
NS-S204,NS,previous_week,Ember Tea,closed,review questions
NS-S205,NS,previous_week,Field Supply,closed,review questions
NS-S206,NS,previous_week,Grove Hotels,closed,review questions
NS-S207,NS,previous_week,Halo Watches,closed,review questions
NS-S208,NS,previous_week,Alto Audio,closed,review questions
NS-S209,NS,previous_week,Cedar Travel,closed,review questions
NS-S210,NS,previous_week,Drift Apparel,closed,review questions
NS-S211,NS,previous_week,Ember Tea,closed,review questions
NS-S212,NS,previous_week,Field Supply,closed,review questions
NS-S213,NS,previous_week,Grove Hotels,closed,review questions
NS-S214,NS,previous_week,Halo Watches,closed,review questions
NS-S215,NS,previous_week,Alto Audio,closed,review questions
NS-S216,NS,previous_week,Cedar Travel,closed,review questions
NS-S217,NS,previous_week,Drift Apparel,closed,review questions
NS-S218,NS,previous_week,Ember Tea,closed,review questions
NS-S219,NS,previous_week,Field Supply,closed,review questions
NS-S220,NS,previous_week,Grove Hotels,closed,review questions
NS-S221,NS,previous_week,Halo Watches,closed,review questions
NS-S301,NS,current_week,Alto Audio,closed,review questions
NS-S302,NS,current_week,Cedar Travel,closed,review questions
NS-S303,NS,current_week,Drift Apparel,closed,review questions
NS-S304,NS,current_week,Ember Tea,closed,review questions
NS-S305,NS,current_week,Field Supply,closed,review questions
NS-S306,NS,current_week,Grove Hotels,open,review questions
NS-S307,NS,current_week,Halo Watches,open,review questions
NS-S308,NS,current_week,Alto Audio,open,review questions
NS-S309,NS,current_week,Cedar Travel,open,review questions
NS-S310,NS,current_week,Drift Apparel,open,review questions
