ticket_id,project,period,organization,status,category
PIN-S201,PIN,previous_week,Birch Books,closed,support tickets
PIN-S202,PIN,previous_week,Copper Coffee,closed,support tickets
PIN-S203,PIN,previous_week,Poppy Goods,closed,support tickets
PIN-S204,PIN,previous_week,Juniper Bikes,closed,support tickets
PIN-S205,PIN,previous_week,Fern Market,closed,support tickets
PIN-S206,PIN,previous_week,Oak Paper,closed,support tickets
PIN-S207,PIN,previous_week,Willow Studio,closed,support tickets
PIN-S208,PIN,previous_week,Birch Books,closed,support tickets
PIN-S209,PIN,previous_week,Copper Coffee,closed,support tickets
PIN-S210,PIN,previous_week,Poppy Goods,closed,support tickets
PIN-S211,PIN,previous_week,Juniper Bikes,closed,support tickets
PIN-S212,PIN,previous_week,Fern Market,closed,support tickets
PIN-S213,PIN,previous_week,Oak Paper,closed,support tickets
PIN-S214,PIN,previous_week,Willow Studio,closed,support tickets
PIN-S215,PIN,previous_week,Birch Books,closed,support tickets
PIN-S216,PIN,previous_week,Copper Coffee,closed,support tickets
PIN-S217,PIN,previous_week,Poppy Goods,closed,support tickets
PIN-S218,PIN,previous_week,Juniper Bikes,closed,support tickets
PIN-S219,PIN,previous_week,Fern Market,closed,support tickets
PIN-S220,PIN,previous_week,Oak Paper,closed,support tickets
PIN-S221,PIN,previous_week,Willow Studio,closed,support tickets
PIN-S222,PIN,previous_week,Birch Books,closed,support tickets
PIN-S223,PIN,previous_week,Copper Coffee,closed,support tickets
PIN-S224,PIN,previous_week,Poppy Goods,closed,support tickets
PIN-S225,PIN,previous_week,Juniper Bikes,closed,support tickets
PIN-S226,PIN,previous_week,Fern Market,closed,support tickets
PIN-S227,PIN,previous_week,Oak Paper,closed,support tickets
PIN-S228,PIN,previous_week,Willow Studio,closed,support tickets
PIN-S229,PIN,previous_week,Birch Books,closed,support tickets
PIN-S230,PIN,previous_week,Copper Coffee,closed,support tickets
PIN-S231,PIN,previous_week,Poppy Goods,closed,support tickets
PIN-S301,PIN,current_week,Birch Books,closed,support tickets
PIN-S302,PIN,current_week,Copper Coffee,closed,support tickets
PIN-S303,PIN,current_week,Poppy Goods,closed,support tickets
PIN-S304,PIN,current_week,Juniper Bikes,closed,support tickets
PIN-S305,PIN,current_week,Fern Market,closed,support tickets
PIN-S306,PIN,current_week,Oak Paper,closed,support tickets
PIN-S307,PIN,current_week,Willow Studio,closed,support tickets
PIN-S308,PIN,current_week,Birch Books,closed,support tickets
PIN-S309,PIN,current_week,Copper Coffee,closed,support tickets
PIN-S310,PIN,current_week,Poppy Goods,closed,support tickets
PIN-S311,PIN,current_week,Juniper Bikes,closed,support tickets
PIN-S312,PIN,current_week,Fern Market,closed,support tickets
PIN-S313,PIN,current_week,Oak Paper,closed,support tickets
PIN-S314,PIN,current_week,Willow Studio,open,support tickets
PIN-S315,PIN,current_week,Birch Books,open,support tickets
PIN-S316,PIN,current_week,Copper Coffee,open,support tickets
PIN-S317,PIN,current_week,Poppy Goods,open,support tickets
PIN-S318,PIN,current_week,Juniper Bikes,open,support tickets
