ticket_id,project,period,organization,status,category
LIB-S201,LIB,previous_week,Central Branch,closed,booking questions
LIB-S202,LIB,previous_week,West Branch,closed,booking questions
LIB-S203,LIB,previous_week,Hill Branch,closed,booking questions
LIB-S204,LIB,previous_week,Elm Branch,closed,booking questions
LIB-S205,LIB,previous_week,River Branch,closed,booking questions
LIB-S206,LIB,previous_week,Market Branch,closed,booking questions
LIB-S207,LIB,previous_week,College Branch,closed,booking questions
LIB-S208,LIB,previous_week,Central Branch,closed,booking questions
LIB-S209,LIB,previous_week,West Branch,closed,booking questions
LIB-S210,LIB,previous_week,Hill Branch,closed,booking questions
LIB-S211,LIB,previous_week,Elm Branch,closed,booking questions
LIB-S212,LIB,previous_week,River Branch,closed,booking questions
LIB-S213,LIB,previous_week,Market Branch,closed,booking questions
LIB-S214,LIB,previous_week,College Branch,closed,booking questions
LIB-S215,LIB,previous_week,Central Branch,closed,booking questions
LIB-S216,LIB,previous_week,West Branch,closed,booking questions
LIB-S217,LIB,previous_week,Hill Branch,closed,booking questions
LIB-S218,LIB,previous_week,Elm Branch,closed,booking questions
LIB-S219,LIB,previous_week,River Branch,closed,booking questions
LIB-S301,LIB,current_week,Central Branch,closed,booking questions
LIB-S302,LIB,current_week,West Branch,closed,booking questions
LIB-S303,LIB,current_week,Hill Branch,closed,booking questions
LIB-S304,LIB,current_week,Elm Branch,open,booking questions
LIB-S305,LIB,current_week,River Branch,open,booking questions
LIB-S306,LIB,current_week,Market Branch,open,booking questions
LIB-S307,LIB,current_week,College Branch,open,booking questions
LIB-S308,LIB,current_week,Central Branch,open,booking questions
