ticket_id,project,period,organization,status,category
MAP-S201,MAP,previous_week,Robotics,closed,family questions
MAP-S202,MAP,previous_week,Ceramics,closed,family questions
MAP-S203,MAP,previous_week,Chess,closed,family questions
MAP-S204,MAP,previous_week,Garden Club,closed,family questions
MAP-S205,MAP,previous_week,Choir,closed,family questions
MAP-S206,MAP,previous_week,Running Club,closed,family questions
MAP-S207,MAP,previous_week,Book Club,closed,family questions
MAP-S208,MAP,previous_week,Robotics,closed,family questions
MAP-S209,MAP,previous_week,Ceramics,closed,family questions
MAP-S210,MAP,previous_week,Chess,closed,family questions
MAP-S211,MAP,previous_week,Garden Club,closed,family questions
MAP-S212,MAP,previous_week,Choir,closed,family questions
MAP-S213,MAP,previous_week,Running Club,closed,family questions
MAP-S214,MAP,previous_week,Book Club,closed,family questions
MAP-S215,MAP,previous_week,Robotics,closed,family questions
MAP-S216,MAP,previous_week,Ceramics,closed,family questions
MAP-S217,MAP,previous_week,Chess,closed,family questions
MAP-S218,MAP,previous_week,Garden Club,closed,family questions
MAP-S219,MAP,previous_week,Choir,closed,family questions
MAP-S220,MAP,previous_week,Running Club,closed,family questions
MAP-S221,MAP,previous_week,Book Club,closed,family questions
MAP-S222,MAP,previous_week,Robotics,closed,family questions
MAP-S223,MAP,previous_week,Ceramics,closed,family questions
MAP-S224,MAP,previous_week,Chess,closed,family questions
MAP-S225,MAP,previous_week,Garden Club,closed,family questions
MAP-S226,MAP,previous_week,Choir,closed,family questions
MAP-S227,MAP,previous_week,Running Club,closed,family questions
MAP-S228,MAP,previous_week,Book Club,closed,family questions
MAP-S301,MAP,current_week,Robotics,closed,family questions
MAP-S302,MAP,current_week,Ceramics,closed,family questions
MAP-S303,MAP,current_week,Chess,closed,family questions
MAP-S304,MAP,current_week,Garden Club,closed,family questions
MAP-S305,MAP,current_week,Choir,closed,family questions
MAP-S306,MAP,current_week,Running Club,closed,family questions
MAP-S307,MAP,current_week,Book Club,closed,family questions
MAP-S308,MAP,current_week,Robotics,open,family questions
MAP-S309,MAP,current_week,Ceramics,open,family questions
MAP-S310,MAP,current_week,Chess,open,family questions
MAP-S311,MAP,current_week,Garden Club,open,family questions
MAP-S312,MAP,current_week,Choir,open,family questions
