merchant_id,organization,eligible,activation_status,migration_id
PIN-A001,Merchant cohort 001,True,activated,
PIN-A002,Merchant cohort 002,True,activated,
PIN-A003,Merchant cohort 003,True,activated,
PIN-A004,Merchant cohort 004,True,activated,
PIN-A005,Merchant cohort 005,True,activated,
PIN-A006,Merchant cohort 006,True,activated,
PIN-A007,Merchant cohort 007,True,activated,
PIN-A008,Merchant cohort 008,True,activated,
PIN-A009,Merchant cohort 009,True,activated,
PIN-A010,Merchant cohort 010,True,activated,
PIN-A011,Merchant cohort 011,True,activated,
PIN-A012,Merchant cohort 012,True,activated,
PIN-A013,Merchant cohort 013,True,activated,
PIN-A014,Merchant cohort 014,True,activated,
PIN-A015,Merchant cohort 015,True,activated,
PIN-A016,Merchant cohort 016,True,activated,
PIN-A017,Merchant cohort 017,True,activated,
PIN-A018,Merchant cohort 018,True,activated,
PIN-A019,Merchant cohort 019,True,activated,
PIN-A020,Merchant cohort 020,True,activated,
PIN-A021,Merchant cohort 021,True,activated,
PIN-A022,Merchant cohort 022,True,activated,
PIN-A023,Merchant cohort 023,True,activated,
PIN-A024,Merchant cohort 024,True,activated,
PIN-A025,Merchant cohort 025,True,activated,
PIN-A026,Merchant cohort 026,True,activated,
PIN-A027,Merchant cohort 027,True,activated,
PIN-A028,Merchant cohort 028,True,activated,
PIN-A029,Merchant cohort 029,True,activated,
PIN-A030,Merchant cohort 030,True,activated,
PIN-A031,Merchant cohort 031,True,activated,
PIN-A032,Merchant cohort 032,True,activated,
PIN-A033,Merchant cohort 033,True,activated,
PIN-A034,Merchant cohort 034,True,activated,
PIN-A035,Merchant cohort 035,True,activated,
PIN-A036,Merchant cohort 036,True,activated,
PIN-A037,Merchant cohort 037,True,activated,
PIN-A038,Merchant cohort 038,True,activated,
PIN-A039,Merchant cohort 039,True,activated,
PIN-A040,Merchant cohort 040,True,activated,
PIN-A041,Merchant cohort 041,True,activated,
PIN-A042,Merchant cohort 042,True,activated,
PIN-A043,Merchant cohort 043,True,activated,
PIN-A044,Merchant cohort 044,True,activated,
PIN-A045,Merchant cohort 045,True,activated,
PIN-A046,Merchant cohort 046,True,activated,
PIN-A047,Merchant cohort 047,True,activated,
PIN-A048,Merchant cohort 048,True,activated,
PIN-A049,Merchant cohort 049,True,activated,
PIN-A050,Merchant cohort 050,True,activated,
PIN-A051,Merchant cohort 051,True,activated,
PIN-A052,Merchant cohort 052,True,activated,
PIN-A053,Merchant cohort 053,True,activated,
PIN-A054,Merchant cohort 054,True,activated,
PIN-A055,Merchant cohort 055,True,activated,
PIN-A056,Merchant cohort 056,True,activated,
PIN-A057,Merchant cohort 057,True,activated,
PIN-A058,Merchant cohort 058,True,activated,
PIN-A059,Merchant cohort 059,True,activated,
PIN-A060,Merchant cohort 060,True,activated,
PIN-A061,Merchant cohort 061,True,activated,
PIN-A062,Merchant cohort 062,True,activated,
PIN-A063,Merchant cohort 063,True,activated,
PIN-A064,Merchant cohort 064,True,activated,
PIN-A065,Merchant cohort 065,True,activated,
